class_name,class_hour,class_teacher,class_date
Vinyasa Yoga,8:30,אפרת כהן,2023-01-22T00:00:00
HP Yoga,11:00,רעות ראובני,2023-01-22T00:00:00
Pilates,17:30,ליאור גורי,2023-01-22T00:00:00
Ashtanga Yoga,19:00,רעות ראובני,2023-01-22T00:00:00
Morning HP Yoga,7:30,רעות ראובני,2023-01-23T00:00:00
Ashtanga Yoga,8:30,רעות ראובני,2023-01-23T00:00:00
Pilates,18:30,מרב זמיר,2023-01-23T00:00:00
Vinyasa Yoga,20:00,אפרת וכטל,2023-01-23T00:00:00
Vinyasa Yoga,8:30,יעל אשכנזי,2023-01-24T00:00:00
Ashtanga Yoga,11:00,רעות ראובני,2023-01-24T00:00:00
HP Yoga,18:30,רעות ראובני,2023-01-24T00:00:00
Yin Yoga,20:00,אפרת כהן,2023-01-24T00:00:00
Morning HP Yoga,7:30,רעות ראובני,2023-01-25T00:00:00
Ashtanga Yoga,8:30,רעות ראובני,2023-01-25T00:00:00
Vinyasa Yoga,17:30,יעל אשכנזי,2023-01-25T00:00:00
Mindfulness,18:20,רעות ראובני,2023-01-25T00:00:00
Ashtanga Yoga,19:00,רעות ראובני,2023-01-25T00:00:00
Vinyasa Yoga,8:30,מור שי,2023-01-26T00:00:00
Ashtanga Yoga,11:00,רעות ראובני,2023-01-26T00:00:00
Yin Yoga,18:30,רעות ראובני,2023-01-26T00:00:00
Pilates,20:00,הדר רוזנברג,2023-01-26T00:00:00
Morning HP Yoga,7:30,רעות ראובני,2023-01-27T00:00:00
Ashtanga Yoga,8:30,רעות ראובני,2023-01-27T00:00:00
Vinyasa Yoga,10:00,אפרת כהן,2023-01-27T00:00:00
Pilates,11:30,מרב זמיר,2023-01-27T00:00:00
Ashtanga Yoga,9:30,יעל אשכנזי,2023-01-28T00:00:00
Pilates,11:00,מרב זמיר,2023-01-28T00:00:00
HP Yoga,12:30,רעות ראובני,2023-01-28T00:00:00
